Suchbegriff aus hochgeladener Datei;Wirkstoff;Markenname des Medikaments;ATC-Code;Kapitelname;Satz, der das Wort enthält;Link zur Online-Referenz
afrikanischen;Carbamazepin;"Timonil®/- retard";"N03AF01";Vorsichtsmassnahmen;"Die Frequenz dieses Allels ist sehr unterschiedlich in verschiedenen ethnischen Populationen. Die Frequenz der europäischen Bevölkerung beträgt etwa 2-5% und bei der japanischen Bevölkerung etwa 10%. Bei der Mehrheit der australischen, asiatischen, afrikanischen und nordamerikanischen Bevölkerung wird die Frequenz dieses Allels auf weniger als 5% geschätzt. Für Westeuropäische Populationen wird die Häufigkeit des HLA-A*3101-Allels je nach geographischer Region auf bis zu etwa 6.7% geschätzt. Es gibt einige Ausnahmen mit einer Frequenz von 5-12%. Bei folgenden ethnischen Gruppen wird die Frequenz auf über 15% geschätzt: Südamerika (Argentinien und Brasilien), Nordamerika (US Navajo, Sioux, und Mexico Sonora Seri) und Südindien (Tamil Nadu).";https://amiko.oddb.org/de/fi?gtin=45723&highlight=afrikanischen&anchor=section7
afrikanischen;Carbamazepin;"Carsol® CR";"N03AF01";Vorsichtsmassnahmen;"Die Frequenz dieses Allels ist sehr unterschiedlich in verschiedenen ethnischen Populationen. Die Frequenz der europäischen Bevölkerung beträgt etwa 2−5% und bei der japanischen Bevölkerung etwa 10%. Bei der Mehrheit der australischen, asiatischen, afrikanischen und nordamerikanischen Bevölkerung wird die Frequenz dieses Allels auf weniger als 5% geschätzt. Für Westeuropäische Populationen wird die Häufigkeit des HLA-A*3101-Allels je nach geographischer Region auf bis zu etwa 6,7% geschätzt. Es gibt einige Ausnahmen mit einer Frequenz von 5–12%. Bei folgenden ethnischen Gruppen wird die Frequenz auf über 15% geschätzt: Südamerika (Argentinien und Brasilien), Nordamerika (US Navajo, Sioux, und Mexico Sonora Seri) und Südindien (Tamil Nadu).";https://amiko.oddb.org/de/fi?gtin=56749&highlight=afrikanischen&anchor=section7
afrikanischen;Oxcarbazepin;"Trileptal®";"N03AF02";Vorsichtsmassnahmen;"Die Prävalenz dieses Allels ist sehr unterschiedlich in verschiedenen ethnischen Populationen. Die Prävalenz in der europäischen Bevölkerung beträgt etwa 2-5%, in der japanischen Bevölkerung etwa 10%. Bei der Mehrheit der australischen, asiatischen, afrikanischen und nordamerikanischen Bevölkerung wird die Prävalenz dieses Allels auf weniger als 5% geschätzt.";https://amiko.oddb.org/de/fi?gtin=55120&highlight=afrikanischen&anchor=section7
afrikanischen;Acenocoumarol;"Sintrom 4/Sintrom 1 mitis";"B01AA07";Kinetik;"CYP2C9 Enzym-Systeme werden polymorph exprimiert und die Häufigkeit ihres Auftretens kann verschieden sein. Bei Kaukasiern treten CYP2C9 * 2 und CYP2C9 * 3 zu 12% bzw. 8% auf. Bei Patienten mit einer Variante oder mehreren Varianten der CYP2C9 Allele ist die Clearance von S-Acenocoumarol reduziert. Bei afrikanischen Patienten werden bei CYP2C9 * 2 und CYP2C9 * 3 deutlich geringere Allelfrequenzen von 1-4% bzw. 0,5-2,3%, im Vergleich zu Kaukasiern beobachtet. Japanische Patienten hatten ebenfalls niedrigere Allelfrequenzen von 0,1% für CYP2C9 * 2 und und 1-6% für CYP2C9 * 3, verglichen mit Kaukasiern.";https://amiko.oddb.org/de/fi?gtin=21693&highlight=afrikanischen&anchor=section14
afrikanischen;Lapatinib;"Tyverb®";"L01XE07";Vorsichtsmassnahmen;"Bei Trägerinnen der HLA-Allele DQA1*02:01 und DRB1*07:01 besteht ein erhöhtes Risiko Lapatinib-assoziierter Hepatotoxizität. In einer grossangelegten, randomisierten klinischen Studie zur Lapatinib-Monotherapie (n = 1'194) lag das Gesamtrisiko hochgradiger Leberschäden (ALT über dem Fünffachen der oberen Normbereichsgrenze, NCI-CTCAE-Grad 3) bei 2% (1:50); bei Trägerinnen der Allele DQA1*02:01 und DRB1*07:01 betrug das Risiko 8% (1:12) und bei Nicht-Trägerinnen 0,5% (1:200). Bei kaukasischen, asiatischen, afrikanischen und lateinamerikanischen Populationen treten die HLA-Risikoallele häufig auf (15 bis 25%), bei japanischen Populationen dagegen seltener (1%).Bei schweren Leberfunktionsstörungen sollte die Verabreichung von Tyverb abgebrochen und anschliessend nicht wiederaufgenommen werden.";https://amiko.oddb.org/de/fi?gtin=57937&highlight=afrikanischen&anchor=section7
afrikanischen;Oxcarbazepin;"Apydan® extent";"N03AF02";Vorsichtsmassnahmen;"Die Prävalenz dieses Allels ist sehr unterschiedlich in verschiedenen ethnischen Populationen. Die Prävalenz in der europäischen Bevölkerung beträgt etwa 2-5%, in der japanischen Bevölkerung etwa 10%. Bei der Mehrheit der australischen, asiatischen, afrikanischen und nordamerikanischen Bevölkerung wird die Prävalenz dieses Allels auf weniger als 5% geschätzt.";https://amiko.oddb.org/de/fi?gtin=57883&highlight=afrikanischen&anchor=section7
afrikanischen;Allopurinol;"Allopurinol Helvepharm";"M04AA01";Vorsichtsmassnahmen;"Das Allel HLA-B*5801 ist ein genetischer Risikofaktor für das Auftreten des Hypersensibilitätssyndroms und SJS/TEN im Zusammenhang mit Allopurinol. Die Häufigkeit des Allels HLA-B*5801 variiert stark bei Menschen mit unterschiedlichem ethnischem Hintergrund: bis zu 20% bei gewissen asiatischen und afrikanischen Bevölkerungen (siehe Rubrik «Unerwünschte Wirkungen» für Details) und 1-2% bei Menschen japanischer oder europäischer Herkunft. Der Einsatz der Genotypisierung als Untersuchungsmethode zur Entscheidung über die Behandlung mit Allopurinol hat sich nicht etabliert. Wenn bekannt ist, dass der Patient Träger von HLA-B*5801 ist, kann die Verwendung von Allopurinol in Erwägung gezogen werden, wenn die Vorteile für grösser als die Risiken gehalten werden. Eine erhöhte Aufmerksamkeit für Anzeichen des Hypersensibilitätssyndroms oder SJS/TEN ist erforderlich und der Patient sollte informiert werden, dass er die Behandlung beim ersten Auftreten von Symptomen sofort unterbrechen muss.";https://amiko.oddb.org/de/fi?gtin=56050&highlight=afrikanischen&anchor=section7
afrikanischen;Allopurinol;"Allopurinol Helvepharm";"M04AA01";Unerwünschte Wirkungen;"Im Rahmen retrospektiver pharmakogenetischer Fall-Kontroll-Studien mit Patienten Han-chinesischer, japanischer und europäischer Abstammung wurde das Allel HLA-B*5801 als genetischer Risikofaktor für das Auftreten von SJS/TEN im Zusammenhang mit Allopurinol erkannt. In einigen Han-chinesischen, thailändischen, afrikanischen und indischen Bevölkerungsgruppen finden sich bis zu 20–30% Träger des HLA-B*5801 Allels, während sich unter den nordeuropäischen, US-europäischen und japanischen Patienten nur schätzungsweise 1–2% HLA-B*5801-Träger befinden. Bisher wurden jedoch noch keine Genotypisierungsverfahren als Screening-Werkzeug für die Entscheidung über eine Therapie mit Allopurinol eingeführt.";https://amiko.oddb.org/de/fi?gtin=56050&highlight=afrikanischen&anchor=section11
afrikanischen;Allopurinol;"Uriconorm® Tabletten";"M04AA01";Vorsichtsmassnahmen;"Das Allel HLA-B*5801 ist ein genetischer Risikofaktor für das Auftreten des Hypersensibilitätssyndroms und SJS/TEN im Zusammenhang mit Allopurinol. Die Häufigkeit des Allels HLA-B*5801 variiert stark bei Menschen mit unterschiedlichem ethnischem Hintergrund: bis zu 20% bei gewissen asiatischen und afrikanischen Bevölkerungen (siehe Rubrik «Unerwünschte Wirkungen» für Details) und 1-2% bei Menschen japanischer oder europäischer Herkunft. Der Einsatz der Genotypisierung als Untersuchungsmethode zur Entscheidung über die Behandlung mit Allopurinol hat sich nicht etabliert. Wenn bekannt ist, dass der Patient Träger von HLA-B*5801 ist, kann die Verwendung von Allopurinol in Erwägung gezogen werden, wenn die Vorteile für grösser als die Risiken gehalten werden. Eine erhöhte Aufmerksamkeit für Anzeichen des Hypersensibilitätssyndroms oder SJS/TEN ist erforderlich und der Patient sollte informiert werden, dass er die Behandlung beim ersten Auftreten von Symptomen sofort unterbrechen muss.";https://amiko.oddb.org/de/fi?gtin=39981&highlight=afrikanischen&anchor=section7
afrikanischen;Allopurinol;"Uriconorm® Tabletten";"M04AA01";Unerwünschte Wirkungen;"Im Rahmen retrospektiver pharmakogenetischer Fall-Kontroll-Studien mit Patienten Han-chinesischer, japanischer und europäischer Abstammung wurde das Allel HLA-B*5801 als genetischer Risikofaktor für das Auftreten von SJS/TEN im Zusammenhang mit Allopurinol erkannt. In einigen Han-chinesischen, thailändischen, afrikanischen und indischen Bevölkerungsgruppen finden sich bis zu 20–30% Träger des HLA-B*5801 Allels, während sich unter den nordeuropäischen, US-europäischen und japanischen Patienten nur schätzungsweise 1–2% HLA-B*5801-Träger befinden. Bisher wurden jedoch noch keine Genotypisierungsverfahren als Screening-Werkzeug für die Entscheidung über eine Therapie mit Allopurinol eingeführt.";https://amiko.oddb.org/de/fi?gtin=39981&highlight=afrikanischen&anchor=section11
afrikanischen;Allopurinol;"Mephanol";"M04AA01";Vorsichtsmassnahmen;"Das Allel HLA-B*5801 ist ein genetischer Risikofaktor für das Auftreten des Hypersensibilitätssyndroms und SJS/TEN im Zusammenhang mit Allopurinol. Die Häufigkeit des Allels HLA-B*5801 variiert stark bei Menschen mit unterschiedlichem ethnischem Hintergrund: bis zu 20% bei gewissen asiatischen und afrikanischen Bevölkerungen (siehe Rubrik «Unerwünschte Wirkungen» für Details) und 1-2% bei Menschen japanischer oder europäischer Herkunft. Der Einsatz der Genotypisierung als Untersuchungsmethode zur Entscheidung über die Behandlung mit Allopurinol hat sich nicht etabliert. Wenn bekannt ist, dass der Patient Träger von HLA-B*5801 ist, kann die Verwendung von Allopurinol in Erwägung gezogen werden, wenn die Vorteile für grösser als die Risiken gehalten werden. Eine erhöhte Aufmerksamkeit für Anzeichen des Hypersensibilitätssyndroms oder SJS/TEN ist erforderlich und der Patient sollte informiert werden, dass er die Behandlung beim ersten Auftreten von Symptomen sofort unterbrechen muss.";https://amiko.oddb.org/de/fi?gtin=38918&highlight=afrikanischen&anchor=section7
afrikanischen;Allopurinol;"Mephanol";"M04AA01";Unerwünschte Wirkungen;"Im Rahmen retrospektiver pharmakogenetischer Fall-Kontroll-Studien mit Patienten Han-chinesischer, japanischer und europäischer Abstammung wurde das Allel HLA-B*5801 als genetischer Risikofaktor für das Auftreten von SJS/TEN im Zusammenhang mit Allopurinol erkannt. In einigen Han-chinesischen, thailändischen, afrikanischen und indischen Bevölkerungsgruppen finden sich bis zu 20–30% Träger des HLA-B*5801 Allels, während sich unter den nordeuropäischen, US-europäischen und japanischen Patienten nur schätzungsweise 1–2% HLA-B*5801-Träger befinden. Bisher wurden jedoch noch keine Genotypisierungsverfahren als Screening-Werkzeug für die Entscheidung über eine Therapie mit Allopurinol eingeführt.";https://amiko.oddb.org/de/fi?gtin=38918&highlight=afrikanischen&anchor=section11
afrikanischen;Allopurinol;"Allopurinol-Mepha, Tabletten";"M04AA01";Vorsichtsmassnahmen;"Das Allel HLA-B*5801 ist ein genetischer Risikofaktor für das Auftreten des Hypersensibilitätssyndroms und SJS/TEN im Zusammenhang mit Allopurinol. Die Häufigkeit des Allels HLA-B*5801 variiert stark bei Menschen mit unterschiedlichem ethnischem Hintergrund: bis zu 20% bei gewissen asiatischen und afrikanischen Bevölkerungen (siehe Rubrik «Unerwünschte Wirkungen» für Details) und 1-2% bei Menschen japanischer oder europäischer Herkunft. Der Einsatz der Genotypisierung als Untersuchungsmethode zur Entscheidung über die Behandlung mit Allopurinol hat sich nicht etabliert. Wenn bekannt ist, dass der Patient Träger von HLA-B*5801 ist, kann die Verwendung von Allopurinol in Erwägung gezogen werden, wenn die Vorteile für grösser als die Risiken gehalten werden. Eine erhöhte Aufmerksamkeit für Anzeichen des Hypersensibilitätssyndroms oder SJS/TEN ist erforderlich und der Patient sollte informiert werden, dass er die Behandlung beim ersten Auftreten von Symptomen sofort unterbrechen muss.";https://amiko.oddb.org/de/fi?gtin=58129&highlight=afrikanischen&anchor=section7
afrikanischen;Allopurinol;"Allopurinol-Mepha, Tabletten";"M04AA01";Unerwünschte Wirkungen;"Im Rahmen retrospektiver pharmakogenetischer Fall-Kontroll-Studien mit Patienten Han-chinesischer, japanischer und europäischer Abstammung wurde das Allel HLA-B*5801 als genetischer Risikofaktor für das Auftreten von SJS/TEN im Zusammenhang mit Allopurinol erkannt. In einigen Han-chinesischen, thailändischen afrikanischen und indischen Bevölkerungsgruppen finden sich bis zu 20–30% Träger des HLA-B*5801 Allels, während sich unter den nordeuropäischen, US-europäischen und japanischen Patienten nur schätzungsweise 1–2% HLA-B*5801-Träger befinden. Bisher wurden jedoch noch keine Genotypisierungsverfahren als Screening-Werkzeug für die Entscheidung über eine Therapie mit Allopurinol eingeführt. Grundlage für die Therapieentscheidung bleibt auch weiterhin die klinische Diagnose eines SJS/einer TEN. Sollten derartige Reaktionen zu irgendeinem Zeitpunkt der Behandlung auftreten, muss Allopurinol umgehend und dauerhaft abgesetzt werden.";https://amiko.oddb.org/de/fi?gtin=58129&highlight=afrikanischen&anchor=section11
afrikanischen;Allopurinol;"Allopur®";"M04AA01";Vorsichtsmassnahmen;"Das Allel HLA-B*5801 ist ein genetischer Risikofaktor für das Auftreten des Hypersensibilitätssyndroms und SJS/TEN im Zusammenhang mit Allopurinol. Die Häufigkeit des Allels HLA-B*5801 variiert stark bei Menschen mit unterschiedlichem ethnischem Hintergrund: bis zu 20% bei gewissen asiatischen und afrikanischen Bevölkerungen (siehe Rubrik «Unerwünschte Wirkungen» für Details) und 1−2% bei Menschen japanischer oder europäischer Herkunft. Der Einsatz der Genotypisierung als Untersuchungsmethode zur Entscheidung über die Behandlung mit Allopurinol hat sich nicht etabliert. Wenn bekannt ist, dass der Patient Träger von HLA-B*5801 ist, kann die Verwendung von Allopurinol in Erwägung gezogen werden, wenn die Vorteile für grösser als die Risiken gehalten werden. Eine erhöhte Aufmerksamkeit für Anzeichen des Hypersensibilitätssyndroms oder SJS/TEN ist erforderlich und der Patient sollte informiert werden, dass er die Behandlung beim ersten Auftreten von Symptomen sofort unterbrechen muss.";https://amiko.oddb.org/de/fi?gtin=38398&highlight=afrikanischen&anchor=section7
afrikanischen;Allopurinol;"Allopur®";"M04AA01";Unerwünschte Wirkungen;"Im Rahmen retrospektiver pharmakogenetischer Fall-Kontroll-Studien mit Patienten Han-chinesischer, japanischer und europäischer Abstammung wurde das Allel HLA-B*5801 als genetischer Risikofaktor für das Auftreten von SJS/TEN im Zusammenhang mit Allopurinol erkannt. In einigen Han-chinesischen, thailändischen, afrikanischen und indischen Bevölkerungsgruppen finden sich bis zu 20–30% Träger des HLA-B*5801 Allels, während sich unter den nordeuropäischen, US-europäischen und japanischen Patienten nur schätzungsweise 1–2% HLA-B*5801-Träger befinden. Bisher wurden jedoch noch keine Genotypisierungsverfahren als Screening-Werkzeug für die Entscheidung über eine Therapie mit Allopurinol eingeführt.";https://amiko.oddb.org/de/fi?gtin=38398&highlight=afrikanischen&anchor=section11
afrikanischen;Carbamazepin;"Tegretol®";"N03AF01";Vorsichtsmassnahmen;"Die Frequenz dieses Allels ist sehr unterschiedlich in verschiedenen ethnischen Populationen. Die Frequenz der europäischen Bevölkerung beträgt etwa 2-5% und bei der japanischen Bevölkerung etwa 10%. Bei der Mehrheit der australischen, asiatischen, afrikanischen und nordamerikanischen Bevölkerung wird die Frequenz dieses Allels auf weniger als 5% geschätzt. Für Westeuropäische Populationen wird die Häufigkeit des HLA-A*3101-Allels je nach geographischer Region auf bis zu etwa 6.7% geschätzt. Es gibt einige Ausnahmen mit einer Frequenz von 5-12%. Bei folgenden ethnischen Gruppen wird die Frequenz auf über 15% geschätzt: Südamerika (Argentinien und Brasilien), Nordamerika (US Navajo, Sioux, und Mexico Sonora Seri) und Südindien (Tamil Nadu).";https://amiko.oddb.org/de/fi?gtin=29789&highlight=afrikanischen&anchor=section7
afrikanischen;Opium-Derivate und Expektoranzien;"Codicalm® Sirup";"R05FA02";Kinetik;"Im Gegensatz hierzu haben ultraschnelle Metabolisierer eine oder mehrere Duplikationen ihrerCYP2D6-kodierendenGene und daher eine deutlich erhöhte CYP2D6-Aktivität. Bei diesen Personen können die Plasmakonzentrationen von Morphin und damit auch das Risiko morphinbedingter Nebenwirkungen erhöht sein. Dies ist insbesondere dann zu berücksichtigen, wenn der Patient gleichzeitig eine eingeschränkte Nierenfunktion hat, die zu einer erhöhten Konzentration des aktiven Metaboliten Morphin-6-Glucuronid führen kann. Es wurde geschätzt, dass etwa 1–5,5% der kaukasischen Bevölkerung ultraschnelle Metabolisierer sind. Die Prävalenz des Polymorphismus, der für die ultraschnelle metabolische Kapazität kodiert, kann in der afrikanischen und mediterranen Bevölkerung höher sein.";https://amiko.oddb.org/de/fi?gtin=60540&highlight=afrikanischen&anchor=section14
afrikanischer;Cilazapril;"Inhibace®";"C09AA08";Vorsichtsmassnahmen;"Bei Patienten afrikanischer Abstammung mit schwarzer Hautfarbe wurde eine verminderte Wirksamkeit von ACE-Hemmern zur Blutdrucksenkung beschrieben. Bei Patienten mit schwarzer Hautfarbe wurde ein erhöhtes Risiko für das Auftreten von Angioödemen beschrieben.";https://amiko.oddb.org/de/fi?gtin=50373&highlight=afrikanischer&anchor=section7
afrikanischer;Benazepril;"Cibacen®";"C09AA07";Vorsichtsmassnahmen;"Bei dunkelhäutigen Patienten afrikanischer Abstammung wurden angioneurotische Ödeme während der Behandlung mit einem ACE-Hemmer häufiger beobachtet als bei Patienten mit anderer Hautfarbe.";https://amiko.oddb.org/de/fi?gtin=50583&highlight=afrikanischer&anchor=section7
afrikanischer;Benazepril und Diuretika;"Cibadrex®";"C09BA07";Vorsichtsmassnahmen;"Bei dunkelhäutigen Patienten afrikanischer Abstammung wurden angioneurotische Ödeme während der Behandlung mit einem ACE-Hemmer häufiger beobachtet als bei Patienten mit anderer Hautfarbe.";https://amiko.oddb.org/de/fi?gtin=51794&highlight=afrikanischer&anchor=section7
afrikanischer;Cilazapril und Diuretika;"Inhibace® Plus";"C09BA08";Vorsichtsmassnahmen;"Bei Patienten afrikanischer Abstammung mit schwarzer Hautfarbe wurde eine verminderte Wirksamkeit von ACE-Hemmern zur Blutdrucksenkung beschrieben. Bei diesen Patienten wurde ebenfalls ein erhöhtes Risiko für das Auftreten von Angioödemen beschrieben.";https://amiko.oddb.org/de/fi?gtin=52472&highlight=afrikanischer&anchor=section7
afrikanischer;Beta-Sitosterin;"Praluent®";"C10AX14";Eigenschaften/Wirkungen;"Studie 1 war eine multizentrische, placebokontrollierte Doppelblindstudie, in der die Patienten randomisiert entweder 150 mg Praluent alle 2 Wochen (1'553 Patienten) oder Placebo (788 Patienten) erhielten. Alle Patienten nahmen Statine in der maximal verträglichen Dosis mit oder ohne weitere lipidmodifizierende Therapien ein und es war bei ihnen eine stärkere Senkung der LDL-C-Werte erforderlich. Das Durchschnittsalter betrug 61 Jahre (Spanne: 18–89 Jahre), 38% waren Frauen, 93% kaukasischer Herkunft, 3% afrikanischer Herkunft und 5% hispanischer/lateinamerikanischer Herkunft. Insgesamt wiesen 69% der Patienten keine familiäre Hypercholesterinämie auf, litten aber unter einer nachgewiesenen kardiovaskulären Erkrankung, 18% hatten eine HeFH. Der durchschnittliche LDL-C-Ausgangswert lag bei 3,16 mmol/l.";https://amiko.oddb.org/de/fi?gtin=65661&highlight=afrikanischer&anchor=section13
afrikanischer;Beta-Sitosterin;"Praluent®";"C10AX14";Eigenschaften/Wirkungen;"Das Durchschnittsalter betrug 63 Jahre (Spanne: 39–87 Jahre), 34% waren Frauen, 82% kaukasischer Herkunft, 16% afrikanischer Herkunft und 11% hispanischer/lateinamerikanischer Herkunft. Insgesamt litten 84% unter einer nachgewiesenen kardiovaskulären Erkrankung. Der durchschnittliche LDL-C-Ausgangswert lag bei 2,64 mmol/l.";https://amiko.oddb.org/de/fi?gtin=65661&highlight=afrikanischer&anchor=section13
